X,Y,numero_pessoas
327448,7390091,40
327448,7390091,1
327916,7389563,43
327916,7389563,1
326271,7392754,307
333608,7394214,1
333451,7394242,1
333451,7394242,1
333641,7394236,3
336124,7395082,6
336124,7395082,1
332598,7391854,94
332598,7391854,1
333268,7395373,2
333268,7395373,1
333538,7394650,3
333538,7394650,1
335266,7392758,1
335266,7392758,1
333703,7394102,6
333703,7394102,1
331250,7393125,20
331250,7393125,1
332039,7392451,32
332039,7392451,1
332309,7393513,2
332309,7393513,1
331859,7392890,19
331859,7392890,1
334105,7394252,3
334105,7394252,1
333776,7394263,1
333776,7394263,1
332846,7394632,2
335834,7390132,4
335834,7390132,1
332444,7393680,2
333998,7400739,1
332641,7393924,20
332641,7393924,1
340032,7403203,1
336274,7402411,160
333445,7394028,5
331007,7395284,1
331007,7395284,1
333445,7394048,1
333445,7394048,1
323848,7387937,1
323848,7387937,1
326430,7386643,47
326430,7386643,1
333650,7393031,2
333650,7393031,1
333712,7391735,1
333712,7391735,1
333220,7393988,2
308835,7404013,1
308835,7404013,1
332484,7391887,1
330556,7393741,73
326870,7393502,2
326870,7393502,1
327621,7394178,1
327621,7394178,1
333840,7394410,1
330778,7393939,1
330778,7393939,1
333294,7393978,1
333294,7393978,1
331293,7392849,3
331293,7392849,1
333535,7394173,4
333535,7394173,1
365749,7411810,1
333690,7397382,116
333690,7397382,1
336655,7390112,2
334601,7390430,6
334601,7390430,1
324987,7384409,2
329026,7387001,1
334618,7390459,7
334618,7390459,1
333535,7394181,1
333535,7394181,1
333529,7394078,1
329306,7390820,2
329306,7390820,1
333465,7394086,1
333465,7394086,1
333008,7393783,1
333008,7393783,1
332850,7393546,4
332850,7393546,1
332607,7394289,2
333191,7395120,2
325788,7395531,1
327430,7394953,165
331823,7392606,79
333835,7392665,2
333835,7392665,1
332313,7394301,2
332313,7394301,1
330854,7388466,1
330854,7388466,1
332718,7394827,6
332718,7394827,1
343295,7396715,3
343295,7396715,1
336514,7388843,153
336514,7388843,1
332092,7394923,3
332092,7394923,1
324954,7393953,1
324954,7393953,1
335080,7394911,145
335080,7394911,1
332304,7394395,1
332892,7394710,3
332892,7394710,1
333033,7394913,2
333033,7394913,1
332748,7395094,2
332748,7395094,1
332390,7394430,2
332390,7394430,1
332040,7394855,1
345088,7382083,1
345088,7382083,1
344873,7382446,1
344873,7382446,1
344168,7383439,122
332772,7394159,2
334273,7393618,1
334273,7393618,1
331731,7394958,1
331731,7394958,1
332347,7393299,3
332347,7393299,1
320863,7394125,1
320863,7394125,1
323128,7391615,2
323128,7391615,1
322114,7394100,2
322114,7394100,1
331281,7393052,10
331281,7393052,1
331590,7392780,6
331590,7392780,1
332141,7394530,5
332141,7394530,1
331839,7392768,1
331839,7392768,1
332725,7395121,10
332725,7395121,1
329268,7399831,1
329268,7399831,1
329782,7402985,1
329782,7402985,1
329722,7397224,136
333013,7393905,1
328766,7388545,1
332081,7393775,2
332081,7393775,1
333028,7394383,1
333138,7394220,1
331895,7394729,6
331895,7394729,1
332369,7394859,3
332369,7394859,1
329936,7396633,1
329936,7396633,1
331988,7394378,1
331988,7394378,1
332695,7394424,1
332695,7394424,1
332509,7394819,1
323908,7393298,1
323908,7393298,1
331434,7394817,137
331434,7394817,1
332468,7394518,1
332468,7394518,1
332443,7395171,1
332535,7395035,2
332079,7394335,5
332079,7394335,1
324035,7384047,2
324035,7384047,1
331887,7394752,2
331887,7394752,1
331908,7394599,3
326877,7397009,1
331939,7394535,1
328449,7390979,1
330731,7393895,21
327179,7395338,1
327179,7395338,1
321219,7384203,1
332673,7394360,1
333563,7392067,1
332225,7392290,17
332225,7392290,1
332427,7394060,1
332427,7394060,1
332262,7394772,4
325933,7398920,4
332464,7394523,1
332464,7394523,1
326655,7399967,1
326655,7399967,1
332469,7393697,1
332469,7393697,1
