X,Y,numero_pessoas
334756,7396002,9
332599,7396169,2
332599,7396169,1
331494,7394808,1
331721,7395844,14
332463,7396196,1
333623,7394725,3
333246,7396196,1
333157,7395578,2
333157,7395578,1
333124,7395571,1
333683,7394684,2
332662,7396057,2
332662,7396057,1
338112,7394492,15
328938,7390496,3
332452,7395584,2
332889,7395663,1
332738,7395569,5
332738,7395569,1
332898,7395650,2
332898,7395650,1
330331,7394167,2
330331,7394167,1
334572,7395174,2
332345,7395791,1
332577,7395860,2
332537,7395730,1
336027,7396050,7
332779,7396278,1
332495,7395565,1
332465,7395576,1
332465,7395576,1
332662,7383932,29
332569,7395677,1
332569,7395677,1
331348,7396678,1
332656,7396181,3
332127,7393008,1
332567,7396138,4
332859,7395705,1
332183,7393905,1
319355,7395619,7
332371,7395923,1
332820,7396267,1
324139,7383005,4
334514,7396710,3
332494,7395699,1
331533,7392079,1
330893,7396748,8
332418,7395903,4
332418,7395903,1
335706,7402914,1
332606,7396168,1
333483,7396958,4
332468,7395681,4
332468,7395681,1
332753,7397147,1
331412,7397375,5
332897,7395813,1
329905,7396909,112
329905,7396909,1
332489,7396052,1
330584,7396611,1
333034,7396116,2
333514,7394958,1
333514,7394958,1
338713,7391018,6
332668,7395666,2
332844,7393508,17
332999,7393516,1
332545,7395676,2
338870,7390864,1
335968,7398714,3
327517,7393727,1
332363,7395637,6
333180,7397208,1
332436,7396598,9
331559,7396145,3
332724,7397185,2
331028,7393581,10
333190,7395747,2
335576,7394517,65
332819,7387066,30
332355,7395306,36
333055,7395594,2
334217,7397370,1
337292,7394930,19
332827,7395668,1
332827,7395668,1
333210,7395270,3
332996,7395489,2
332996,7395489,1
330579,7393728,27
332395,7395721,1
333777,7395878,1
326676,7391954,3
333046,7396184,1
333046,7396184,1
333173,7396067,3
333173,7396067,1
331348,7393040,7
332399,7395715,1
339582,7396579,1
332495,7395748,2
339311,7396330,1
333099,7394528,1
330795,7397608,31
332962,7394582,1
325773,7392222,2
332167,7395896,3
334099,7396961,2
332908,7389537,1
365732,7396572,2
332545,7395573,1
333168,7396050,1
333168,7396050,1
333179,7395306,4
333093,7395708,2
333093,7395708,1
332393,7396071,4
332318,7396577,4
334446,7396457,2
331482,7392910,8
340701,7392189,1
332647,7395760,2
332825,7395723,1
332825,7395723,1
336475,7395334,1
333064,7395684,1
330111,7392144,1
330276,7392252,1
332773,7395583,1
332731,7395753,1
331345,7394395,1
333386,7395221,1
332926,7395741,1
333627,7398476,5
332426,7395350,6
332584,7395911,2
332771,7395802,1
332771,7395802,1
325625,7392239,1
332330,7395657,2
330783,7395412,12
332506,7396319,1
332679,7396205,1
332679,7396205,1
334238,7396530,5
333958,7395523,1
332608,7396230,1
333415,7395782,1
332615,7396222,1
334546,7396848,1
334032,7396315,1
334032,7396315,1
330671,7392168,1
333920,7396102,2
334478,7396606,1
326007,7397814,1
333917,7396361,2
333357,7396190,1
337754,7398435,1
333293,7396614,2
333975,7396272,2
333591,7394828,3
334321,7396341,4
334079,7397394,1
333413,7395747,2
333561,7395723,1
333834,7396179,2
333357,7395690,2
334871,7400981,2
334010,7396313,1
334010,7396313,1
325868,7398112,2
333643,7396368,2
333643,7396368,1
331759,7388798,6
332807,7397211,2
332276,7395193,1
334551,7400100,1
332869,7397350,2
327957,7404953,1
329148,7391397,1
333834,7396358,1
334185,7396378,1
333633,7396418,1
333728,7396387,1
334570,7396490,6
333464,7396404,2
333936,7396155,2
333936,7396155,1
333476,7395073,1
333942,7396430,3
333942,7396430,1
336369,7402475,11
328344,7397305,7
333776,7396198,2
331451,7392743,7
331302,7392872,9
333820,7396198,1
332304,7397245,1
332446,7397149,3
332446,7397149,1
332634,7396776,1
332634,7396776,1
331033,7402146,1
333440,7396798,1
334018,7400108,2
334301,7399860,2
333556,7396962,2
333870,7396887,1
333473,7396985,2
333130,7396883,2
333447,7396412,1
333447,7396412,1
332919,7396704,6
332980,7396808,2
332695,7397285,1
332695,7397285,1
336447,7394876,2
332916,7396955,1
332916,7396955,1
332888,7396438,2
332726,7396694,1
333076,7396266,2
332599,7397365,2
332155,7397343,1
334697,7401424,1
334952,7400884,1
332464,7397296,3
332913,7396961,1
332913,7396961,1
332993,7396936,1
308665,7398601,6
333468,7396279,1
333934,7386971,1
334032,7386923,15
333433,7396262,2
330490,7393818,7
333219,7397400,1
333014,7396802,4
332342,7396819,1
333949,7401060,4
328296,7394422,1
331191,7396209,1
331229,7396045,1
331147,7394602,5
334711,7396671,2
334734,7396665,1
333087,7397022,2
333046,7396904,1
333030,7395093,3
332699,7397234,2
326529,7385261,2
331285,7393519,9
334444,7395925,1
333027,7396997,2
333753,7402493,1
323692,7393242,2
332435,7392753,2
332624,7397169,3
330321,7398038,3
332342,7397207,3
332815,7397077,3
332724,7397005,1
332724,7397005,1
339898,7387579,1
342075,7375846,1
332896,7397372,1
332250,7391529,1
332192,7391964,1
