Id,Label
702,70934104
703,70952101
704,70952102
705,70952103
706,70952104
707,70959101
708,70959102
709,71081101
710,71081102
711,71081103
712,71473101
713,71473102
714,71473103
715,71473104
716,71474101
717,71474102
718,71477101
719,71477102
720,71477103
721,71482101
722,71482102
723,71482103
724,71482104
725,71487101
726,71487102
727,71511101
728,71511102
729,71512101
730,71525101
731,71525102
732,71525103
733,71549101
734,71570101
735,71570102
736,71570103
737,71590101
738,71590102
739,71590103
740,71604101
741,71604102
742,71611101
743,71643101
744,71712101
745,80003101
746,80003102
747,80003103
748,80004101
749,80004102
750,80004103
751,80007101
752,80007102
753,80007103
754,80007104
755,80010101
756,80010102
757,80010103
758,80012101
759,80023101
760,80023102
761,80029101
762,80029102
763,80029103
764,80030101
765,80030102
766,80030103
767,80031101
768,80032101
769,80037101
770,80040101
771,80040102
772,80042101
773,80042102
774,80042103
775,80044101
776,80044102
777,80045101
778,80045102
779,80045103
780,80046101
781,80047101
782,80047102
783,80047103
784,80050101
785,80050102
786,80050103
787,80050104
788,80050105
789,80306101
790,80308101
791,80308102
792,80309101
793,80309102
794,80309103
795,80311101
796,80311102
797,80311103
798,80504101
799,80504102
800,80504103
801,80504104
802,80504105
803,80504106
804,80506101
805,80506102
806,80506103
807,80508101
808,80508102
809,80514101
810,80514102
811,80514103
812,80514104
813,80523101
814,80523102
815,80523103
816,80523104
817,80525101
818,80525102
819,80525103
820,80527101
821,80527102
822,80527103
823,80533101
824,80533102
825,80538101
826,80538102
827,80538103
828,80538104
829,80538105
830,80546101
831,80546102
832,80555101
833,80555102
834,80559101
835,80559102
836,80559103
837,80559104
838,80562101
839,80562102
840,80562103
841,80562104
842,80562105
843,80566101
844,80566102
845,80574101
846,80574102
847,80585101
848,80585102
849,80585103
850,80585104
851,80593101
852,80593102
853,80593201
854,80593202
855,80593301
856,80593302
857,80593303
858,80593401
859,80593402
860,80593403
861,80593404
862,80593405
863,80609101
864,80631101
865,80631102
866,80631103
867,80631104
868,80631105
869,80649101
870,80649102
871,80739101
872,80739102
873,80739103
874,80739104
875,81559101
876,81559102
877,81579101
878,81579102
879,81579103
880,81589101
881,81589102
882,81589103
883,81589104
884,81589105
885,81589106
886,81589107
887,81874101
888,81874102
889,81874103
890,81874104
891,81874105
892,81874106
893,81876101
894,81876102
895,81876103
896,81876201
897,81876202
898,81876203
899,81876204
900,81878101
901,81883101
902,81883102
903,81883103
904,90001101
905,90001102
906,90002101
907,90002102
908,90002103
909,90002104
910,90003101
911,90003102
912,90004101
913,90004102
914,90004103
915,90007101
916,90008101
917,90009101
918,90009102
919,90009103
920,90010101
921,90010102
922,90010103
923,90010104
924,90012101
925,90012102
926,90015101
927,90015102
928,90029101
929,90029102
930,90029103
931,90031101
932,90032101
933,90032102
934,90032103
935,90032104
936,90034101
937,90034102
938,90037101
939,90037102
940,90039101
941,90042101
942,90042102
943,90043101
944,90043102
945,90043103
946,90043104
947,90045101
948,90045102
949,90049101
950,90049102
951,90049103
952,90050101
953,90050102
954,90050103
955,90301101
956,90301102
957,90302101
958,90302102
959,90302103
960,90302104
961,90309101
962,90309102
963,90592101
964,90597101
965,90597102
966,90597103
967,90597104
968,90599101
969,90599102
970,90599103
971,90606101
972,90606102
973,90606103
974,90607101
975,90608101
976,90608102
977,90608103
978,90608104
979,90610101
980,90612101
981,90612102
982,90612103
983,90615101
984,90615102
985,90615103
986,90615104
987,90616101
988,90616102
989,90616103
990,90616104
991,90616105
992,90616106
993,90616107
994,90623101
995,90623102
996,90623103
997,90623104
998,90642101
999,90642102
1000,90649101
1001,90649102
1002,90649103
1003,90653101
1004,90653102
1005,90653103
1006,90653104
1007,90665101
1008,90665102
1009,90665103
1010,90680101
1011,90680102
1012,90684101
1013,91291101
1014,91291102
1015,91291103
1016,91300101
1017,91300102
1018,91305101
1019,91305102
1020,91320101
1021,91346101
1022,91346102
1023,91367101
1024,91367102
1025,91367103
1026,91388101
1027,91388102
1028,91394101
1029,91394102
1030,91394103
1031,91397101
1032,91397102
1033,100015101
1034,100015102
1035,100015103
1036,100016101
1037,100016102
1038,100016103
1039,100018101
1040,100018102
1041,100018103
1042,100019101
1043,100019102
1044,100019103
1045,100019104
1046,100022101
1047,100022102
1048,100022103
1049,100023101
1050,100023102
1051,100023103
1052,100023104
1053,100036101
1054,100036102
